st	loopid
GATA1::HDAC4::ESR1::TFAP2A	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::ESR1::TFAP2A	20_1735000_1750000_20_2075000_2090000
GATA1::SMARCE1::ESR1::TFAP2A	20_1735000_1750000_20_2075000_2090000
GATA1::CREBBP::JUN::TFAP2A	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::JUN::TFAP2A	20_1735000_1750000_20_2075000_2090000
GATA1::SMARCE1::JUN::TFAP2A	20_1735000_1750000_20_2075000_2090000
GATA1::CREBBP::AR::TFAP2A	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC4::AR::TFAP2A	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::AR::TFAP2A	20_1735000_1750000_20_2075000_2090000
GATA1::SMARCE1::AR::TFAP2A	20_1735000_1750000_20_2075000_2090000
STAT1::JUN::AR	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC1::AR	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC4::AR	20_1735000_1750000_20_2075000_2090000
STAT1::CREBBP::AR	20_1735000_1750000_20_2075000_2090000
STAT1::PML::STAT1	20_1735000_1750000_20_2075000_2090000
STAT1::JUN::STAT1	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC1::STAT1	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC4::STAT1	20_1735000_1750000_20_2075000_2090000
STAT1::CREBBP::STAT1	20_1735000_1750000_20_2075000_2090000
STAT1::JUN::ESR1	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC1::ESR1	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC4::ESR1	20_1735000_1750000_20_2075000_2090000
STAT1::CREBBP::ESR1	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC1::CEBPD	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC4::CEBPD	20_1735000_1750000_20_2075000_2090000
STAT1::CREBBP::CEBPD	20_1735000_1750000_20_2075000_2090000
STAT1::PML::TCF7L2	20_1735000_1750000_20_2075000_2090000
STAT1::JUN::TCF7L2	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC1::E2F1	20_1735000_1750000_20_2075000_2090000
STAT1::CREBBP::E2F1	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC1::E2F3	20_1735000_1750000_20_2075000_2090000
STAT1::CREBBP::E2F3	20_1735000_1750000_20_2075000_2090000
STAT1::PML::E2F4	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC1::E2F4	20_1735000_1750000_20_2075000_2090000
STAT1::JUN::ELF3	20_1735000_1750000_20_2075000_2090000
STAT1::CREBBP::ELF3	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC1::ELK1	20_1735000_1750000_20_2075000_2090000
STAT1::CREBBP::ELK1	20_1735000_1750000_20_2075000_2090000
STAT1::CREBBP::ESR2	20_1735000_1750000_20_2075000_2090000
STAT1::JUN::KLF5	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC1::KLF5	20_1735000_1750000_20_2075000_2090000
STAT1::CREBBP::KLF5	20_1735000_1750000_20_2075000_2090000
STAT1::CREBBP::SMAD2::FOXH1	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC1::SMAD2::FOXH1	20_1735000_1750000_20_2075000_2090000
STAT1::JUN::SMAD2::FOXH1	20_1735000_1750000_20_2075000_2090000
STAT1::PML::SMAD2::FOXH1	20_1735000_1750000_20_2075000_2090000
STAT1::ATF3::SMAD2::FOXH1	20_1735000_1750000_20_2075000_2090000
STAT1::CREBBP::AR::FOXH1	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC4::AR::FOXH1	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC1::AR::FOXH1	20_1735000_1750000_20_2075000_2090000
STAT1::JUN::AR::FOXH1	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC1::KLF4	20_1735000_1750000_20_2075000_2090000
STAT1::CREBBP::KLF4	20_1735000_1750000_20_2075000_2090000
STAT1::JUN::NKX2-5	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC1::NKX2-5	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC1::RBPJ	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC1::REST	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC4::REST	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC1::RREB1	20_1735000_1750000_20_2075000_2090000
STAT1::PML::RUNX3	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC1::RUNX3	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC4::RUNX3	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC1::SOX2	20_1735000_1750000_20_2075000_2090000
STAT1::CREBBP::SOX4	20_1735000_1750000_20_2075000_2090000
STAT1::CREBBP::SOX9	20_1735000_1750000_20_2075000_2090000
STAT1::CREBBP::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC4::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC1::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
STAT1::JUN::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
STAT1::CREBBP::AR::SRY	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC4::AR::SRY	20_1735000_1750000_20_2075000_2090000
STAT1::HDAC1::AR::SRY	20_1735000_1750000_20_2075000_2090000
STAT1::JUN::AR::SRY	20_1735000_1750000_20_2075000_2090000
STAT1::JUN::TFAP2A	20_1735000_1750000_20_2075000_2090000
GATA2::JUN::AR	20_1735000_1750000_20_2075000_2090000
GATA2::HDAC1::AR	20_1735000_1750000_20_2075000_2090000
GATA2::CREBBP::AR	20_1735000_1750000_20_2075000_2090000
GATA2::PML::STAT1	20_1735000_1750000_20_2075000_2090000
GATA2::JUN::STAT1	20_1735000_1750000_20_2075000_2090000
GATA2::HDAC1::STAT1	20_1735000_1750000_20_2075000_2090000
GATA2::CREBBP::STAT1	20_1735000_1750000_20_2075000_2090000
GATA2::JUN::ESR1	20_1735000_1750000_20_2075000_2090000
GATA2::HDAC1::ESR1	20_1735000_1750000_20_2075000_2090000
GATA2::CREBBP::ESR1	20_1735000_1750000_20_2075000_2090000
GATA2::HDAC1::CEBPD	20_1735000_1750000_20_2075000_2090000
GATA2::CREBBP::CEBPD	20_1735000_1750000_20_2075000_2090000
GATA2::PML::TCF7L2	20_1735000_1750000_20_2075000_2090000
GATA2::JUN::TCF7L2	20_1735000_1750000_20_2075000_2090000
GATA2::HDAC1::E2F1	20_1735000_1750000_20_2075000_2090000
GATA2::CREBBP::E2F1	20_1735000_1750000_20_2075000_2090000
GATA2::HDAC1::E2F3	20_1735000_1750000_20_2075000_2090000
GATA2::CREBBP::E2F3	20_1735000_1750000_20_2075000_2090000
GATA2::PML::E2F4	20_1735000_1750000_20_2075000_2090000
GATA2::HDAC1::E2F4	20_1735000_1750000_20_2075000_2090000
GATA2::JUN::ELF3	20_1735000_1750000_20_2075000_2090000
GATA2::CREBBP::ELF3	20_1735000_1750000_20_2075000_2090000
GATA2::HDAC1::ELK1	20_1735000_1750000_20_2075000_2090000
GATA2::CREBBP::ELK1	20_1735000_1750000_20_2075000_2090000
GATA2::CREBBP::ESR2	20_1735000_1750000_20_2075000_2090000
